admin3Name_en,admin3Pcode,ADM2_PCODE,ADM1_PCODE,ADM0_PCODE,admin3RefName,admin2Name_en,admin1Name_en,admin0Name_en,P,P00_04,P05_09,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_80,P80plus,Child,Male,Female
Manikchhari,BD204667,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,61589,8079,9772,8276,5051,4956,5103,3881,3641,3129,2452,2065,1258,1476,717,797,283,653,29021,30939,30650
Matiranga,BD204670,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,126477,15360,18817,17080,10771,10285,11056,8378,7768,6160,4879,3927,2674,3097,1830,1976,789,1630,59243,63695,62782
Panchhari,BD204677,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,62198,6292,7803,7650,5521,5089,5770,4446,4343,3527,2885,2310,1727,1590,1024,1034,505,682,27527,31352,30846
Ramgarh,BD204680,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,71677,9209,10301,9027,6407,5814,6279,4617,4577,3735,3095,2366,1584,1537,1038,956,402,733,33739,36644,35033
Kamalnagar,BD205133,BD2051,BD20,BD,<Null>,Lakshmipur,Chittagong,Bangladesh,222915,30275,39044,29411,19608,17801,18907,13808,12202,9730,7335,6816,4033,5259,2672,3046,994,1974,118300,111245,111670
Lakshmipur Sadar,BD205143,BD2051,BD20,BD,<Null>,Lakshmipur,Chittagong,Bangladesh,684425,78289,94690,88340,68846,58986,55967,41311,39393,34151,27173,24812,15814,19906,10612,11935,4728,9472,316402,325234,359191
Roypur,BD205158,BD2051,BD20,BD,<Null>,Lakshmipur,Chittagong,Bangladesh,275160,29408,37076,35578,27374,23810,23039,17358,16266,14141,11324,10437,6167,8113,4318,4993,1946,3812,129409,132284,142876
Ramganj,BD205165,BD2051,BD20,BD,<Null>,Lakshmipur,Chittagong,Bangladesh,285686,31620,36812,37436,29509,24270,21833,16981,16451,14377,11669,10622,6628,8812,4970,5997,2292,5407,125318,130568,155118
Ramgati,BD205173,BD2051,BD20,BD,<Null>,Lakshmipur,Chittagong,Bangladesh,261002,35977,45199,34026,22150,20080,21390,16294,14369,12228,8808,8518,5065,6701,3165,3655,1213,2164,133148,128449,132553
Begumganj,BD207507,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,549308,62211,75462,75394,60036,48998,42815,32060,29607,26244,21021,18605,12397,15388,8410,9359,3685,7616,249608,261210,288098
Chatkhil,BD207510,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,233253,24745,29501,31111,25531,21155,18752,13808,13144,11289,9396,8302,5422,6903,3932,4565,1880,3817,103165,108021,125232
Companiganj,BD207521,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,250579,28667,35528,33890,27041,22037,20781,15248,13919,11710,9076,8496,5062,7089,3498,4143,1421,2973,114292,120088,130491
Hatiya,BD207536,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,452463,66589,77919,56829,37418,35591,38559,29297,25556,21028,13846,13923,7882,10980,4801,6177,1812,4256,229958,223853,228610
Kabirhat,BD207547,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,196944,24454,30877,27807,19357,15971,15000,11026,10364,8907,7304,6420,4139,5311,2920,3315,1296,2476,93999,92601,104343
Senbagh,BD207580,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,282894,30705,37902,37658,30373,24772,23036,16786,15648,13804,11224,10008,6759,8130,4803,5127,2059,4100,126917,133341,149553
Sonaimuri,BD207583,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,327194,36757,45335,46067,36261,28899,24709,18166,16910,15144,12060,11127,7397,9385,5330,5957,2418,5272,145092,149751,177443
Subarnachar,BD207585,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,289514,42872,51242,38154,24533,22830,24140,17779,15326,12070,8470,8336,4858,7020,3413,4036,1433,3002,151344,143532,145982
Noakhali Sadar (Sudharam),BD207587,BD2075,BD20,BD,<Null>,Noakhali,Chittagong,Bangladesh,525934,64693,80754,71544,53345,45536,42065,31368,29075,24373,19466,16535,10852,12904,7002,7463,3007,5952,255089,252772,273162
Baghai Chhari,BD208407,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,96899,10608,13575,11951,7926,8215,9176,7246,6362,5094,4188,3396,2564,2313,1554,1349,616,766,45133,50595,46304
Barkal,BD208421,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,47523,5333,6789,5480,3652,4252,4745,3585,3194,2498,2177,1644,1276,1007,758,576,264,293,20639,25614,21909
Kawkhali (Betbunia),BD208425,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,59578,6736,7770,7044,5207,5605,5672,4511,4023,3243,2688,2165,1488,1305,751,641,314,415,26187,30516,29062
Belai Chhari,BD208429,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,28525,3350,4257,3090,2306,2637,2806,2054,1868,1399,1312,1005,756,646,419,325,121,174,12431,15174,13351
Kaptai,BD208436,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,59693,5515,6951,6726,6163,5662,5423,4392,4478,3708,3134,2488,1592,1422,741,665,259,374,25397,31798,27895
Jurai Chhari,BD208447,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,27786,2917,3924,3024,2199,2520,2961,2269,1968,1383,1275,920,709,602,402,332,157,224,11792,14839,12947
Langadu,BD208458,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,81548,10236,13008,10572,6238,7003,7346,5378,4932,3886,3116,2656,1748,1905,1096,1164,408,856,38474,42226,39322
Naniarchar,BD208475,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,43616,4559,5765,4864,3531,3694,4237,3560,3014,2357,2013,1644,1277,1103,708,590,316,384,18831,22507,21109
Rajasthali,BD208478,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,26083,2625,3324,3299,2174,2101,2364,1958,1830,1515,1332,1053,767,720,350,340,147,184,10451,13595,12488
Rangamati Sadar,BD208487,BD2084,BD20,BD,<Null>,Rangamati,Chittagong,Bangladesh,124728,10519,13967,14707,12738,12460,13269,10509,9277,7090,5881,4349,3071,2607,1591,1273,614,806,49009,66212,58516
Adabor,BD302602,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,203989,18091,19021,19271,20724,26044,27365,19681,15589,11568,7890,6579,4073,3725,1734,1421,543,670,68459,109354,94635
Badda,BD302604,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,536621,45585,48814,48142,55771,74838,76517,53437,42057,30207,20022,15084,8180,8075,3604,3364,1135,1789,175060,302228,234393
Bangshal,BD302605,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,186952,11980,12876,17986,23544,28100,24551,16746,13907,11265,8210,6244,3538,3531,1605,1543,545,781,52142,120382,66570
Biman Bandar,BD302606,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,10626,531,730,1018,989,1560,1578,820,769,733,604,483,333,202,96,97,37,46,3093,6207,4419
Cantonment,BD302608,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,131864,9288,10748,13285,12632,16335,16080,12933,12136,9141,6208,4618,3014,2343,1258,906,429,510,42260,75201,56663
Chak Bazar,BD302609,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,156147,9583,11289,14602,18444,22304,21197,14986,12219,10087,6803,5629,3045,2700,1220,1131,365,543,44571,101016,55131
Dakshinkhan,BD302610,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,255931,23489,24975,24178,25345,33187,35262,24959,19540,14473,9791,7489,4281,4034,1901,1589,583,855,91448,136572,119359
Darus Salam,BD302611,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,159139,13541,14889,14960,16866,21461,21235,14979,12310,9314,6333,4888,2615,2689,1096,1082,347,534,54406,86926,72213
Demra,BD302612,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,226679,21594,24296,24995,23439,25735,25427,18987,16550,13774,9702,7901,4410,4388,1885,1849,607,1140,90823,121805,104874
Dhamrai,BD302614,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,412418,36559,44843,41775,32911,37605,41353,33540,30914,26286,21014,18611,11184,13177,6744,7463,2768,5671,151487,207078,205340
Dhanmondi,BD302616,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,147643,7833,9351,13704,16593,21201,17548,12343,10668,9671,8092,6818,4965,3625,2069,1435,799,928,42366,79465,68178
Dohar,BD302618,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,226439,23871,27435,27190,20492,20333,19920,15374,14060,12368,9462,9135,5588,7533,3859,4652,1659,3508,95691,107041,119398
Gendaria,BD302624,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,137721,10844,11864,13363,13669,16607,16059,12245,10679,9181,6691,5479,3468,3288,1491,1485,505,803,48848,76446,61275
Gulshan,BD302626,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,253050,17271,19142,21776,26257,34442,33604,24206,20352,16179,11954,9630,6133,5322,2634,2135,897,1116,72824,140322,112728
Hazaribagh,BD302628,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,185639,16715,18262,18712,19097,22452,22083,16573,14264,11545,7850,6422,3467,3656,1504,1649,550,838,70768,100776,84863
Jatrabari,BD302629,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,443601,40860,45522,45920,45006,52451,53481,40207,34192,27130,18496,14696,8174,7976,3400,3231,1078,1781,167370,245176,198425
Kafrul,BD302630,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,396182,31106,35735,38069,43580,53477,52504,37184,30256,23358,16243,12643,7381,6622,3154,2572,957,1341,136521,210106,186076
Kadamtali,BD302632,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,370895,35716,38761,37977,37264,44009,45078,33645,28302,21969,14831,11743,6736,6829,2794,2818,855,1568,145413,200673,170222
Kalabagan,BD302633,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,118660,6798,7702,10239,12787,17023,16178,11254,9240,7527,6008,4783,3239,2576,1301,959,481,565,31458,67762,50898
Kamrangir Char,BD302634,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,93601,10205,11104,10540,9965,10689,10679,7758,6375,5020,3275,2911,1294,1844,614,697,214,417,38936,50973,42628
Khilgaon,BD302636,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,327717,29156,32743,33008,30950,36481,39464,30788,26611,20977,14683,11428,6899,6336,3033,2625,1012,1523,122860,174376,153341
Khilkhet,BD302637,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,130053,11195,11642,11227,12474,18902,17945,12505,9644,7312,5100,4144,2453,2371,1168,974,372,625,43488,73271,56782
Keraniganj,BD302638,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,794360,79694,87350,86310,79822,86679,85364,64961,55237,47019,32528,28705,14607,19077,8171,9752,3071,6013,322573,421809,372551
Kotwali,BD302640,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,62087,3564,4201,5488,6522,8154,8086,6151,5362,4303,3113,2494,1419,1368,666,602,244,350,16794,40322,21765
Lalbagh,BD302642,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,369933,33263,36218,37855,39573,49594,43563,31101,26729,21672,15553,12641,6540,7192,2882,3038,886,1633,141659,199464,170469
Mirpur,BD302648,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,500373,39768,41659,44839,52475,68206,67684,48756,38891,29809,21512,16466,10541,8623,4432,3433,1405,1874,161971,269051,231322
Mohammadpur,BD302650,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,355843,26030,29522,34901,37928,47765,44890,32511,26644,22217,16100,13063,7884,7210,3430,2980,1204,1564,115539,196321,159522
Motijheel,BD302654,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,210006,13269,15821,19847,23450,27202,26475,19739,16467,14414,10925,8589,5257,3818,1785,1497,590,861,65556,123315,86691
Nawabganj,BD302662,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,318811,31072,35295,35595,28146,29324,28981,22969,20974,18509,14713,13339,8867,10641,6080,6452,2723,5131,123733,149298,169513
New Market,BD302663,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,49523,2037,2349,3883,5445,8972,7085,4679,3918,3315,2503,1976,1307,903,473,300,189,189,10021,32685,16838
Pallabi,BD302664,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,596835,48872,53906,56920,64543,80256,79387,55811,44559,33873,23578,18989,11204,11045,5005,4598,1627,2662,210072,312390,284445
Paltan,BD302665,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,59639,3020,3615,5338,6240,7371,7726,6312,5162,4070,3405,2611,1873,1241,752,420,223,260,14692,36311,23328
Ramna,BD302666,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,200973,13434,14920,18930,21116,25844,24890,18583,15666,13467,10139,8347,5613,4342,2239,1672,800,971,61536,108262,92711
Rampura,BD302667,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,224079,18083,19576,21068,22439,28140,28517,21885,18152,13850,9982,7535,5130,4108,2260,1752,769,833,73576,119103,104976
Sabujbagh,BD302668,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,376421,33684,37310,36650,35409,42954,46663,36711,30311,23874,16621,12839,7674,7053,3280,2822,996,1570,139140,204490,171931
Savar,BD302672,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,1385910,116170,127092,114737,136673,217204,212302,131351,99287,70903,48515,37848,20545,22273,10133,10385,3536,6956,429965,738764,647146
Shah Ali,BD302674,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,115489,9372,10402,10658,12370,15923,15349,10891,8836,6789,4824,3612,2090,1956,888,808,264,457,39859,61813,53676
Shahbagh,BD302675,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,68140,2321,2726,4133,7799,17420,9508,4925,4268,3731,3153,2831,2085,1485,770,497,214,274,12046,45057,23083
Shyampur,BD302676,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,184062,16451,17868,19222,19544,21821,22053,16252,13806,11623,7678,6427,3380,3732,1391,1539,448,827,68755,102405,81657
Sher-e-bangla Nagar,BD302680,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,137573,9420,10385,11920,15161,21051,17901,12519,10221,8486,6321,5035,3165,2595,1316,1056,465,556,40486,75990,61583
Sutrapur,BD302688,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,211210,14694,15901,19395,21372,26483,25243,19754,17158,14630,10832,8822,5483,4875,2413,2148,816,1191,66531,121067,90143
Tejgaon,BD302690,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,148255,9408,11756,13452,17507,21298,19631,13580,11205,8991,6840,5246,3318,2665,1294,1034,424,606,42432,84633,63622
Tejgaon Ind. Area,BD302692,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,146732,9478,10005,10527,18112,25290,23501,15013,11222,8169,5429,4082,2123,1886,720,620,221,334,37201,90947,55785
Turag,BD302693,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,157316,15073,16032,14985,15952,21510,21165,14274,11600,8596,5840,4551,2223,2503,1001,1015,353,643,54915,86428,70888
Uttara,BD302695,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,179907,11427,14380,18461,18478,20865,21576,17339,14960,12417,8888,6688,4748,3973,2417,1659,806,825,50532,101349,78558
Uttar Khan,BD302696,BD3026,BD30,BD,<Null>,Dhaka,Dhaka,Bangladesh,78933,7184,8145,7985,7882,9394,9376,6675,5749,4690,3479,2745,1621,1621,797,809,267,514,30921,41362,37571
Alfadanga,BD302903,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,108302,11729,14115,13942,9378,8347,8789,6964,6535,5827,5065,4442,2889,3595,2376,1937,1005,1367,46086,51603,56699
Bhanga,BD302910,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,259032,27578,34646,32551,22997,21152,21079,16922,15529,14811,11739,10868,6800,8638,4775,4250,1847,2850,115090,125324,133708
Boalmari,BD302918,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,256658,27201,34512,32453,21478,20792,21999,17169,16186,14567,11801,10372,6818,7384,4932,3876,2194,2924,111667,126428,130230
Char Bhadrasan,BD302921,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,63477,6727,8771,7433,4849,4636,5036,4266,4018,3746,3124,2915,1943,2283,1249,1200,475,806,26296,30357,33120
Faridpur Sadar,BD302947,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,469410,44566,53810,53355,42642,44994,43638,34752,32230,28537,22732,19095,12528,13351,7836,6982,3272,5090,186987,235762,233648
Madhukhali,BD302956,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,204492,20562,25087,23862,18119,17195,17740,14104,13442,12554,10174,8576,5600,5970,3694,3326,1709,2778,86789,101719,102773
Nagarkanda,BD302962,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,197898,21126,27296,25799,17316,16519,16653,12998,11956,10925,8837,7777,5105,5784,3653,2721,1415,2018,90137,98290,99608
Sadarpur,BD302984,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,186254,20493,25736,23460,14444,13859,14471,12386,11836,10570,8847,8064,5227,6262,3668,3318,1370,2243,79812,89664,96590
Saltha,BD302990,BD3029,BD30,BD,<Null>,Faridpur,Dhaka,Bangladesh,167446,19320,25362,22127,13381,13357,14111,10766,9695,8911,7048,6507,4108,5010,2827,2262,1055,1599,78359,83098,84348
Gazipur Sadar,BD303330,BD3033,BD30,BD,<Null>,Gazipur,Dhaka,Bangladesh,1820374,153097,169990,152981,185621,283224,267969,165905,128331,96556,65983,52590,27794,29739,13011,13660,4640,9283,580144,976683,843691
Kaliakair,BD303332,BD3033,BD30,BD,<Null>,Gazipur,Dhaka,Bangladesh,483308,41015,46322,41265,41827,64611,66241,44663,36286,28288,20136,16411,9095,9995,5198,5492,2171,4292,150280,248219,235089
Kaliganj,BD303334,BD3033,BD30,BD,<Null>,Gazipur,Dhaka,Bangladesh,265276,24633,30792,30160,23912,25597,24746,19182,17533,15972,12707,11108,7117,7723,4492,4507,1846,3249,109340,133246,132030
Kapasia,BD303336,BD3033,BD30,BD,<Null>,Gazipur,Dhaka,Bangladesh,342162,33034,42651,40505,29323,28565,29130,23551,22839,20877,17360,14794,9687,10502,5987,6313,2491,4553,140668,165864,176298
Sreepur,BD303386,BD3033,BD30,BD,<Null>,Gazipur,Dhaka,Bangladesh,492792,47824,55506,49355,42266,55787,56296,40337,33892,29027,21023,18418,10445,12215,5924,6737,2486,5254,184440,251298,241494
Gopalganj Sadar,BD303532,BD3035,BD30,BD,<Null>,Gopalganj,Dhaka,Bangladesh,344008,36324,46634,43868,31594,29433,28932,23233,21271,18420,15024,12640,8896,9894,6638,4980,2685,3542,153795,172991,171017
Kashiani,BD303543,BD3035,BD30,BD,<Null>,Gopalganj,Dhaka,Bangladesh,207615,21994,27589,26298,17286,16318,17113,13944,12903,11259,9424,8342,5928,6773,4446,3455,1921,2622,89630,99912,107703
Kotali Para,BD303551,BD3035,BD30,BD,<Null>,Gopalganj,Dhaka,Bangladesh,230493,25305,32857,29234,18755,17853,18414,15545,14491,12485,10471,8765,6450,6849,4402,3840,2015,2762,101759,113492,117001
Muksudpur,BD303558,BD3035,BD30,BD,<Null>,Gopalganj,Dhaka,Bangladesh,289406,30878,38921,37581,25208,23741,23865,18894,17452,15966,12856,11386,7832,9037,5705,4431,2365,3288,129295,140956,148450
Tungi Para,BD303591,BD3035,BD30,BD,<Null>,Gopalganj,Dhaka,Bangladesh,100893,11317,14200,13533,8804,8164,8356,6460,6078,5122,4424,3717,2573,2727,1824,1523,900,1171,47480,50517,50376
Austagram,BD304802,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,152523,22906,25008,17212,11163,11127,12280,10017,9006,7489,5627,5237,3298,4268,2329,2579,1055,1922,74018,75265,77258
Bajitpur,BD304806,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,248730,32315,39208,31445,19393,19179,19786,15578,14643,12862,10234,9197,5896,6561,3827,4056,1674,2876,118528,121856,126874
Bhairab,BD304811,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,298309,39132,47146,39590,27109,23743,23689,18143,17013,14771,11834,9842,6706,6977,3970,3866,1660,3118,143949,146929,151380
Hossainpur,BD304827,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,183884,21735,28769,22588,14514,13875,14700,11699,11055,9969,8197,7443,4472,5335,2891,3220,1156,2266,86402,90229,93655
Itna,BD304833,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,164127,24204,26314,18715,11660,12210,13361,11096,9580,8285,5826,5917,3415,4919,2312,3096,1065,2152,80924,83790,80337
Karimganj,BD304842,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,287807,36136,44921,36065,21689,21373,22986,18063,16740,15398,11709,11229,6658,8669,4271,5465,1995,4440,135514,141531,146276
Katiadi,BD304845,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,314529,40609,47483,37646,23679,23345,24526,19733,18080,17373,13380,13323,7393,10211,5153,6199,2036,4360,144599,151017,163512
Kishoreganj Sadar,BD304849,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,414208,47000,59611,51601,36154,35027,34367,26645,24962,22687,18039,16034,9765,11270,6105,7099,2530,5312,184918,205095,209113
Kuliar Char,BD304854,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,182236,22934,29224,23513,14210,13884,14032,10995,10275,9504,7635,6938,4306,5177,2832,3206,1161,2410,85977,87955,94281
Mithamain,BD304859,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,122026,18689,20547,13541,9180,9375,10241,7944,7134,5786,4318,4053,2538,3191,1743,1823,674,1249,61052,61831,60195
Nikli,BD304876,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,133729,18269,21188,15187,9100,10000,11100,9009,8150,7051,5076,5058,3130,4060,2227,2543,924,1657,63063,66997,66732
Pakundia,BD304879,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,250060,27969,35051,30801,21086,19684,20141,15747,15365,14192,11658,10778,6555,7525,4180,4429,1615,3284,110953,120548,129512
Tarail,BD304892,BD3048,BD30,BD,<Null>,Kishoreganj,Dhaka,Bangladesh,159739,20927,25577,19820,11626,11539,12380,9801,9161,8349,6603,6095,3924,4779,2588,2960,1193,2417,75221,79199,80540
Kalkini,BD305440,BD3054,BD30,BD,<Null>,Madaripur,Dhaka,Bangladesh,273258,28657,39697,36632,23630,20565,20763,17446,16099,15103,11967,11525,6695,9052,4499,5306,1881,3741,125845,133714,139544
Madaripur Sadar,BD305454,BD3054,BD30,BD,<Null>,Madaripur,Dhaka,Bangladesh,345764,34851,47112,44992,30941,28114,28063,22767,21661,19822,15263,14921,8360,11101,5200,6276,2128,4192,158964,171329,174435
Rajoir,BD305480,BD3054,BD30,BD,<Null>,Madaripur,Dhaka,Bangladesh,228710,23859,31374,28864,19964,18454,18799,15527,14244,13042,9908,9569,5801,7434,3885,3974,1575,2437,104698,113031,115679
Shib Char,BD305487,BD3054,BD30,BD,<Null>,Madaripur,Dhaka,Bangladesh,318220,33934,43689,40727,27069,24629,24799,20427,19384,17595,13972,14093,8314,11387,5406,6359,2149,4287,142949,156508,161712
Daulatpur,BD305610,BD3056,BD30,BD,<Null>,Manikganj,Dhaka,Bangladesh,167026,19290,24197,19206,11239,11947,12433,11209,10743,10369,7854,7962,4421,6037,2877,3424,1204,2614,71276,80489,86537
Ghior,BD305622,BD3056,BD30,BD,<Null>,Manikganj,Dhaka,Bangladesh,146292,12766,15832,14881,11299,12287,13163,10679,11179,9701,7938,7129,4597,5225,2778,2953,1258,2627,54737,70945,75347
Harirampur,BD305628,BD3056,BD30,BD,<Null>,Manikganj,Dhaka,Bangladesh,139318,13212,16226,15381,9811,10493,11259,10170,9698,9133,7095,7177,4174,5676,2735,3335,1232,2511,52977,65815,73503
Manikganj Sadar,BD305646,BD3056,BD30,BD,<Null>,Manikganj,Dhaka,Bangladesh,309413,27950,33637,31947,24736,27340,28429,23570,22596,19690,16197,14446,9109,10587,5881,6057,2429,4812,112183,149407,160006
Saturia,BD305670,BD3056,BD30,BD,<Null>,Manikganj,Dhaka,Bangladesh,171494,15129,19531,17961,12905,14271,15470,13089,12702,11365,8664,8611,4888,6376,3064,3702,1240,2526,63836,83653,87841
Shibalaya,BD305678,BD3056,BD30,BD,<Null>,Manikganj,Dhaka,Bangladesh,171873,16052,19646,18637,12853,14046,14934,12949,12489,11263,8755,8202,5282,5829,3248,3491,1380,2817,65743,85216,86657
Singair,BD305682,BD3056,BD30,BD,<Null>,Manikganj,Dhaka,Bangladesh,287451,28258,34532,32325,22808,24790,25702,20696,19736,17173,13775,12611,8027,9695,5170,5699,2202,4252,110253,140834,146617
Gazaria,BD305924,BD3059,BD30,BD,<Null>,Munshiganj,Dhaka,Bangladesh,157988,15546,19403,18047,14593,14336,14697,11257,10160,8933,7060,6446,3814,4971,2483,3040,1135,2067,67355,78744,79244
Lohajang,BD305944,BD3059,BD30,BD,<Null>,Munshiganj,Dhaka,Bangladesh,159242,15050,18345,18193,14660,14261,14203,11542,10710,9553,7082,6667,3916,5296,2590,3394,1173,2607,67187,79247,79995
Munshiganj Sadar,BD305956,BD3059,BD30,BD,<Null>,Munshiganj,Dhaka,Bangladesh,383263,37965,44523,43954,37690,37103,36630,28456,25423,22309,16324,14970,8519,10935,5301,6336,2185,4640,162229,194508,188755
Serajdikhan,BD305974,BD3059,BD30,BD,<Null>,Munshiganj,Dhaka,Bangladesh,288107,29350,33699,33083,26780,26971,26794,21300,18994,16752,12596,11315,6960,8285,4430,5006,1983,3809,120428,143559,144548
Sreenagar,BD305984,BD3059,BD30,BD,<Null>,Munshiganj,Dhaka,Bangladesh,259887,25410,29429,30131,23848,23668,23907,19082,17254,15441,11698,10416,6581,8041,4367,4892,1912,3810,108662,127374,132513
Tongibari,BD305994,BD3059,BD30,BD,<Null>,Munshiganj,Dhaka,Bangladesh,197173,18779,23207,23262,18828,17263,17592,13994,13286,11708,8767,7943,4816,6183,3206,3827,1502,3010,84558,98120,99053
Araihazar,BD306702,BD3067,BD30,BD,<Null>,Narayanganj,Dhaka,Bangladesh,376550,42197,53879,45360,35053,35322,33868,25163,22948,19222,15228,13781,8967,9748,5299,5197,2007,3311,169967,188324,188226
Sonargaon,BD306704,BD3067,BD30,BD,<Null>,Narayanganj,Dhaka,Bangladesh,400358,40620,47566,44502,38656,42766,43475,30756,26732,21551,16007,13589,8602,9819,4960,5418,1882,3457,168091,204438,195920
